GB,target_id
GB42195,XR_001705491.2
GB42195,XR_001705490.2
GB42195,XM_623972.6
GB42138,XM_006557405.3
GB42138,XM_006557404.3
GB42138,XM_623949.6
GB42138,XM_006557406.3
GB42194,XM_026446303.1
GB42139,XM_026439913.1
GB42139,NM_001242554.1
GB42193,XM_016917677.1
GB42193,XM_016917679.2
GB42140,XM_016917662.2
GB42140,XM_026440071.1
GB42140,XM_016917667.2
GB42140,XM_006557400.3
GB42140,XM_016917672.2
GB42192,XM_394142.7
GB42141,XM_392111.7
GB42142,XM_006557392.2
GB42190,XM_006557389.3
GB42190,XM_026443894.1
GB42190,XM_394141.4
GB42190,XM_006557388.1
GB42143,XM_006557391.3
GB42143,XM_392109.6
GB42143,XM_016910832.2
GB42189,XM_006557387.3
GB42189,XM_394140.7
GB42188,XM_016910793.2
GB42188,XM_006557376.3
GB42188,XM_016910803.2
GB42188,XM_006557380.3
GB42188,XM_006557381.3
GB42188,XM_001122271.5
GB42188,XM_006557386.3
GB42188,XM_006557383.3
GB42188,XM_006557382.3
GB42188,XM_006557384.3
GB42188,XM_006557379.3
GB42188,XM_006557385.3
GB42188,XM_016910810.2
GB42186,XR_003305810.1
GB42186,XM_026444102.1
GB42186,XM_394248.6
GB42145,XM_026446225.1
GB42145,XM_026446229.1
GB42145,XM_026446228.1
GB42145,XM_026446230.1
GB42145,XM_026446227.1
GB42145,XM_026446232.1
GB42145,XM_026446234.1
GB42145,XM_026446237.1
GB42145,XM_026446226.1
GB42145,XM_026446233.1
GB42145,XM_026446235.1
GB42145,XM_026446236.1
GB42145,XM_026446231.1
GB42184,XM_026446241.1
GB42184,XM_026446239.1
GB42184,XM_016910677.2
GB42184,XM_026446240.1
GB42184,XM_026446242.1
GB42183,XM_003249064.4
GB42150,XM_016918148.2
GB42150,XM_016918144.2
GB42150,XM_006557369.3
GB42150,XM_016918147.2
GB42150,XM_006557372.3
GB42182,XM_016910683.2
GB42180,XR_001706010.2
GB42180,XR_001706008.2
GB42180,XR_003304966.1
GB42180,XM_026441502.1
GB42152,XM_394245.6
GB42152,XM_016916693.2
GB42177,XM_003249062.4
GB42155,XR_407471.3
GB42155,XM_001122476.5
GB42156,XR_407453.3
GB42156,NM_001204751.1
GB11203,XM_006557359.3
GB11203,XM_016914916.2
GB11203,XM_006557358.3
GB42173,XM_001122509.5
GB42172,XM_006557357.3
GB42172,XM_016917835.2
GB42172,XM_026441961.1
GB42172,XM_016917834.2
GB42159,XM_006557355.2
GB42159,XM_006557354.2
GB42159,XM_026446332.1
GB42170,XM_026446257.1
GB42168,XM_006557352.3
GB42168,XM_624067.5
GB42161,XM_006557350.3
GB42161,XM_006557351.3
GB42161,XM_016917789.2
GB42161,XM_016917790.2
GB42164,XM_016917650.2
GB42164,XM_026440446.1
GB47705,XR_407902.3
GB47718,XM_006558554.3
GB47718,XM_026446034.1
GB47718,XM_006558552.3
GB47718,XM_026446033.1
GB47719,XM_026446035.1
GB47719,XM_006558620.3
GB47720,XM_003249303.4
GB47720,XM_026446036.1
GB47721,XM_026446049.1
GB47723,XM_003249306.4
GB47723,XM_006558561.3
GB47723,XM_016910716.2
GB47723,XM_026446048.1
GB47694,XM_026442989.1
GB47694,XM_026442949.1
GB47694,XM_026442921.1
GB47694,XM_026442862.1
GB47694,NM_001077823.2
GB47689,XM_006558574.3
GB47724,XM_026446259.1
GB47724,XM_026446259.1
GB47725,XM_003249309.4
GB47687,XM_026446052.1
GB47727,XM_026444468.1
GB47728,XM_397559.7
GB47728,XM_026446238.1
GB47728,XM_026446243.1
GB47728,XM_006558576.3
GB47728,XM_006558577.3
GB47732,XM_001120426.5
GB47732,XM_016912272.2
GB47683,XM_026439223.1
GB47683,XM_026439220.1
GB47734,XM_003249312.4
GB47734,XM_003249313.4
GB47735,XM_623599.6
GB47736,XM_026446194.1
GB47680,XM_006558584.3
GB47680,XM_006558583.3
GB47679,XM_393421.5
GB47678,XM_016912185.2
GB47678,XM_393422.7
GB47675,XM_006558585.3
GB47675,XM_395133.6
GB47675,XM_006558586.3
GB47675,XM_016912197.2
GB47740,XM_001120937.5
GB47670,XM_006558598.3
GB47670,XM_006558597.3
GB47670,XM_003249288.4
GB47670,XM_006558596.3
GB47669,XM_393342.7
GB47741,XR_001706444.2
GB47741,XR_001706445.2
GB47741,XR_001706446.2
GB47741,XM_397274.7
GB47741,XM_003249289.4
GB47741,XM_006558601.3
GB47743,XM_016917618.2
GB47743,XM_026446280.1
GB47743,XM_006558603.3
GB47743,XM_397273.7
GB47668,XM_006558606.3
GB47668,XM_393487.7
GB47744,XM_026446282.1
GB47667,XM_395584.7
GB47745,XM_001121025.5
GB47746,XM_624443.4
GB47746,XM_006558608.3
GB47747,XM_006558609.2
GB47748,NM_001214904.1
GB47748,XM_026440906.1
GB47748,XM_026440876.1
GB47666,XM_006558610.3
GB47666,XM_016917865.2
GB47666,XM_016917864.2
GB47663,XM_006558611.3
GB47749,XM_006558613.3
GB47749,XM_016917798.2
GB47662,XM_396376.7
GB47751,XM_395143.7
GB47751,XM_016917921.2
GB47661,XM_006558616.3
GB50350,XM_001121467.5
GB50348,XM_006559838.3
GB50348,XM_001119959.5
GB50347,XM_006559839.3
GB50347,XM_026442212.1
GB50352,XM_026442190.1
GB50352,XM_026442197.1
GB50353,XM_026445497.1
GB50355,XM_395930.6
GB50345,XM_006559845.3
GB50345,XM_006559844.3
GB50345,XM_006559842.3
GB50345,XM_006559843.3
GB14943,XM_003249533.3
GB50344,XM_026442619.1
GB50344,XM_026442641.1
GB50344,NM_001242556.1
GB50356,XM_001120364.5
GB50357,XM_623108.6
GB50343,XM_001123127.5
GB50359,XM_006559846.3
GB50359,XM_006559848.3
GB50359,XM_392165.7
GB50359,XM_006559849.2
GB50359,XM_006559847.3
GB50360,XM_006559851.3
GB50342,XM_016911229.2
GB50342,XM_006559854.3
GB50342,XM_016911215.2
GB50342,XM_016911217.2
GB50342,XM_016911237.2
GB50363,XM_006559852.3
GB50364,XM_026446324.1
GB50366,XM_026446328.1
GB50339,XM_026446326.1
GB50339,XM_026446325.1
GB50339,XM_016917825.2
